latitude,longitude,temperature,wind_speed,precipitation,timezone,weather_code,airport_iata,airport_city
47.42470169067383,-61.778099060058594,23.8,35.3,0.0,GMT-3,2,YGR,Iles De La Madeleine
52.8166999817,-102.310997009,22.2,11.7,0.0,GMT-6,2,YHB,Hudson Bay
49.831699,-92.744202,22.5,11.5,0.0,GMT-5,0,YHD,Dryden
70.76280212402344,-117.80599975585938,9.5,11.8,0.0,GMT-6,0,YHI,Holman Island
68.635597229,-95.8497009277,10.4,22.2,0.0,GMT-6,2,YHK,Gjoa Haven
43.1735992432,-79.93499755859999,31.5,24.9,0.0,GMT-4,3,YHM,Hamilton
45.5175018311,-73.4169006348,31.8,25.1,0.0,GMT-4,0,YHU,Montreal
60.8396987915,-115.782997131,21.1,15.3,0.0,GMT-6,1,YHY,Hay River
44.8807983398,-63.5085983276,23.3,24.4,0.0,GMT-3,0,YHZ,Halifax
48.7738990784,-91.6386032104,21.8,11.0,0.0,GMT-5,0,YIB,Atikokan
72.6832962036,-77.9666976929,5.3,7.2,0.0,GMT-4,3,YIO,Pond Inlet
45.29439926147461,-73.28109741210938,32.7,19.3,0.0,GMT-4,0,YJN,St. Jean
48.5442008972168,-58.54999923706055,19.4,26.2,0.0,GMT-2:30,3,YJT,Stephenville
50.7022018433,-120.444000244,28.1,3.1,0.0,GMT-7,0,YKA,Kamloops
43.4608001709,-80.3786010742,30.7,21.9,0.0,GMT-4,2,YKF,Waterloo
54.805301666259766,-66.8052978515625,19.3,15.1,0.0,GMT-4,1,YKL,Schefferville
51.5175018311,-109.180999756,21.0,13.4,0.0,GMT-6,0,YKY,Kindersley
43.86220169067383,-79.37000274658203,32.4,20.5,0.0,GMT-4,3,YKZ,Toronto
47.81999969482422,-83.3467025756836,19.8,8.7,0.0,GMT-4,3,YLD,Chapleau
54.125301361083984,-108.52300262451172,19.7,12.1,0.0,GMT-6,3,YLJ,Meadow Lake
53.309200286865234,-110.072998046875,20.7,22.5,0.0,GMT-6,2,YLL,Lloydminster
82.51779937740001,-62.2806015015,6.9,6.5,0.0,GMT-4,2,YLT,Alert
49.9561004639,-119.377998352,26.2,14.7,0.0,GMT-7,0,YLW,Kelowna
63.61640167236328,-135.8679962158203,17.7,10.1,0.0,GMT-7,2,YMA,Mayo
50.330299377441406,-105.55899810791016,22.8,18.3,0.0,GMT-6,0,YMJ,Moose Jaw
56.653301239,-111.222000122,22.4,14.5,0.0,GMT-6,3,YMM,Fort Mcmurray
51.29109954833984,-80.60780334472656,24.8,14.8,0.0,GMT-4,0,YMO,Moosonee
46.2728004456,-75.9906005859,27.8,18.8,0.0,GMT-4,0,YMW,Maniwaki
45.679501,-74.038696,30.7,27.4,0.0,GMT-4,0,YMX,Montreal
50.18999862670898,-61.78919982910156,16.0,16.9,0.2,GMT-4,61,YNA,Natashquan
45.5217018127,-75.5635986328,31.7,27.7,0.0,GMT-4,0,YND,Gatineau
49.76169967651367,-77.80280303955078,19.7,11.3,0.0,GMT-4,3,YNM,Matagami
67.57060241699219,-139.83900451660156,11.1,10.0,0.0,GMT-7,3,YOC,Old Crow
54.40499877929688,-110.27899932861328,21.6,13.6,0.0,GMT-6,3,YOD,Cold Lake
58.62139892578125,-117.16500091552734,20.7,11.0,0.0,GMT-6,3,YOJ,High Level
45.3224983215332,-75.66919708251953,31.3,28.2,0.0,GMT-4,0,YOW,Ottawa
53.2141990662,-105.672996521,21.1,12.3,0.0,GMT-6,2,YPA,Prince Albert
56.226898,-117.446999,19.6,15.4,0.2,GMT-6,80,YPE,Peace River
49.903099,-98.273817,22.7,10.2,0.0,GMT-5,0,YPG,Portage-la-prairie
51.4463996887207,-90.21420288085938,22.5,16.0,0.0,GMT-5,0,YPL,Pickle Lake
49.83639907836914,-64.2885971069336,15.3,11.3,0.6,GMT-4,61,YPN,Port Menier
44.22999954223633,-78.36329650878906,31.9,23.4,0.0,GMT-4,3,YPQ,Peterborough
54.2860984802,-130.445007324,13.9,11.2,0.1,GMT-7,80,YPR,Prince Pupert
58.7672004699707,-111.11699676513672,22.0,10.0,0.0,GMT-6,2,YPY,Fort Chipewyan
44.974700927734375,-79.30329895019531,31.4,23.2,0.0,GMT-4,0,YQA,Muskoka
46.7911,-71.393303,27.5,30.1,0.0,GMT-4,3,YQB,Quebec
52.18220138549805,-113.8939971923828,22.5,7.7,0.0,GMT-6,1,YQF,Red Deer Industrial
42.27560043334961,-82.95559692382812,33.0,25.4,0.0,GMT-4,1,YQG,Windsor
60.11640167236328,-128.82200622558594,12.2,5.4,0.1,GMT-7,61,YQH,Watson Lake
49.78829956054688,-94.36309814453124,22.4,6.6,0.0,GMT-5,1,YQK,Kenora
49.6302986145,-112.800003052,24.2,27.0,0.0,GMT-6,0,YQL,Lethbridge
46.11220169067383,-64.67859649658203,26.5,28.7,0.0,GMT-3,0,YQM,Moncton
49.71080017089844,-124.88700103759766,18.8,8.1,0.0,GMT-7,0,YQQ,Comox
50.43190002441406,-104.66600036621094,20.7,17.9,0.0,GMT-6,0,YQR,Regina
48.37189865112305,-89.32389831542969,25.2,12.1,0.0,GMT-4,0,YQT,Thunder Bay
55.1796989441,-118.885002136,22.0,28.0,0.0,GMT-6,2,YQU,Grande Prairie
